# Sample experimental data for FFT analysis
# Signal: 50Hz (amp=1.0) + 120Hz (amp=0.5) + 200Hz (amp=0.3)
# Sampling rate: 1000 Hz, Duration: 1.0 s
# Time(s), Amplitude
0.000000, 0.000000
0.001000, 0.936608
0.002000, 1.263134
0.003000, 1.017938
0.004000, 0.728406
0.005000, 0.706107
0.006000, 0.745230
0.007000, 0.563189
0.008000, 0.287105
0.009000, 0.264577
0.010000, 0.475528
0.011000, 0.428713
0.012000, -0.227387
0.013000, -1.169415
0.014000, -1.688787
0.015000, -1.475528
0.016000, -0.906616
0.017000, -0.508336
0.018000, -0.341957
0.019000, -0.103190
0.020000, 0.293893
0.021000, 0.531667
0.022000, 0.378864
0.023000, 0.133668
0.024000, 0.323466
0.025000, 1.000000
0.026000, 1.578647
0.027000, 1.484366
0.028000, 0.796706
0.029000, 0.086367
0.030000, -0.293893
0.031000, -0.514844
0.032000, -0.833614
0.033000, -1.109698
0.034000, -0.995497
0.035000, -0.524472
0.036000, -0.213326
0.037000, -0.448619
0.038000, -0.948183
0.039000, -1.046747
0.040000, -0.475528
0.041000, 0.353457
0.042000, 0.888466
0.043000, 1.054845
0.044000, 1.156883
0.045000, 1.293893
0.046000, 1.173707
0.047000, 0.600096
0.048000, -0.087564
0.049000, -0.318574
0.050000, -0.000000
0.051000, 0.318574
0.052000, 0.087564
0.053000, -0.600096
0.054000, -1.173707
0.055000, -1.293893
0.056000, -1.156883
0.057000, -1.054845
0.058000, -0.888466
0.059000, -0.353457
0.060000, 0.475528
0.061000, 1.046747
0.062000, 0.948183
0.063000, 0.448619
0.064000, 0.213326
0.065000, 0.524472
0.066000, 0.995497
0.067000, 1.109698
0.068000, 0.833614
0.069000, 0.514844
0.070000, 0.293893
0.071000, -0.086367
0.072000, -0.796706
0.073000, -1.484366
0.074000, -1.578647
0.075000, -1.000000
0.076000, -0.323466
0.077000, -0.133668
0.078000, -0.378864
0.079000, -0.531667
0.080000, -0.293893
0.081000, 0.103190
0.082000, 0.341957
0.083000, 0.508336
0.084000, 0.906616
0.085000, 1.475528
0.086000, 1.688787
0.087000, 1.169415
0.088000, 0.227387
0.089000, -0.428713
0.090000, -0.475528
0.091000, -0.264577
0.092000, -0.287105
0.093000, -0.563189
0.094000, -0.745230
0.095000, -0.706107
0.096000, -0.728406
0.097000, -1.017938
0.098000, -1.263134
0.099000, -0.936608
0.100000, 0.000000
0.101000, 0.936608
0.102000, 1.263134
0.103000, 1.017938
0.104000, 0.728406
0.105000, 0.706107
0.106000, 0.745230
0.107000, 0.563189
0.108000, 0.287105
0.109000, 0.264577
0.110000, 0.475528
0.111000, 0.428713
0.112000, -0.227387
0.113000, -1.169415
0.114000, -1.688787
0.115000, -1.475528
0.116000, -0.906616
0.117000, -0.508336
0.118000, -0.341957
0.119000, -0.103190
0.120000, 0.293893
0.121000, 0.531667
0.122000, 0.378864
0.123000, 0.133668
0.124000, 0.323466
0.125000, 1.000000
0.126000, 1.578647
0.127000, 1.484366
0.128000, 0.796706
0.129000, 0.086367
0.130000, -0.293893
0.131000, -0.514844
0.132000, -0.833614
0.133000, -1.109698
0.134000, -0.995497
0.135000, -0.524472
0.136000, -0.213326
0.137000, -0.448619
0.138000, -0.948183
0.139000, -1.046747
0.140000, -0.475528
0.141000, 0.353457
0.142000, 0.888466
0.143000, 1.054845
0.144000, 1.156883
0.145000, 1.293893
0.146000, 1.173707
0.147000, 0.600096
0.148000, -0.087564
0.149000, -0.318574
0.150000, -0.000000
0.151000, 0.318574
0.152000, 0.087564
0.153000, -0.600096
0.154000, -1.173707
0.155000, -1.293893
0.156000, -1.156883
0.157000, -1.054845
0.158000, -0.888466
0.159000, -0.353457
0.160000, 0.475528
0.161000, 1.046747
0.162000, 0.948183
0.163000, 0.448619
0.164000, 0.213326
0.165000, 0.524472
0.166000, 0.995497
0.167000, 1.109698
0.168000, 0.833614
0.169000, 0.514844
0.170000, 0.293893
0.171000, -0.086367
0.172000, -0.796706
0.173000, -1.484366
0.174000, -1.578647
0.175000, -1.000000
0.176000, -0.323466
0.177000, -0.133668
0.178000, -0.378864
0.179000, -0.531667
0.180000, -0.293893
0.181000, 0.103190
0.182000, 0.341957
0.183000, 0.508336
0.184000, 0.906616
0.185000, 1.475528
0.186000, 1.688787
0.187000, 1.169415
0.188000, 0.227387
0.189000, -0.428713
0.190000, -0.475528
0.191000, -0.264577
0.192000, -0.287105
0.193000, -0.563189
0.194000, -0.745230
0.195000, -0.706107
0.196000, -0.728406
0.197000, -1.017938
0.198000, -1.263134
0.199000, -0.936608
0.200000, 0.000000
0.201000, 0.936608
0.202000, 1.263134
0.203000, 1.017938
0.204000, 0.728406
0.205000, 0.706107
0.206000, 0.745230
0.207000, 0.563189
0.208000, 0.287105
0.209000, 0.264577
0.210000, 0.475528
0.211000, 0.428713
0.212000, -0.227387
0.213000, -1.169415
0.214000, -1.688787
0.215000, -1.475528
0.216000, -0.906616
0.217000, -0.508336
0.218000, -0.341957
0.219000, -0.103190
0.220000, 0.293893
0.221000, 0.531667
0.222000, 0.378864
0.223000, 0.133668
0.224000, 0.323466
0.225000, 1.000000
0.226000, 1.578647
0.227000, 1.484366
0.228000, 0.796706
0.229000, 0.086367
0.230000, -0.293893
0.231000, -0.514844
0.232000, -0.833614
0.233000, -1.109698
0.234000, -0.995497
0.235000, -0.524472
0.236000, -0.213326
0.237000, -0.448619
0.238000, -0.948183
0.239000, -1.046747
0.240000, -0.475528
0.241000, 0.353457
0.242000, 0.888466
0.243000, 1.054845
0.244000, 1.156883
0.245000, 1.293893
0.246000, 1.173707
0.247000, 0.600096
0.248000, -0.087564
0.249000, -0.318574
0.250000, -0.000000
0.251000, 0.318574
0.252000, 0.087564
0.253000, -0.600096
0.254000, -1.173707
0.255000, -1.293893
0.256000, -1.156883
0.257000, -1.054845
0.258000, -0.888466
0.259000, -0.353457
0.260000, 0.475528
0.261000, 1.046747
0.262000, 0.948183
0.263000, 0.448619
0.264000, 0.213326
0.265000, 0.524472
0.266000, 0.995497
0.267000, 1.109698
0.268000, 0.833614
0.269000, 0.514844
0.270000, 0.293893
0.271000, -0.086367
0.272000, -0.796706
0.273000, -1.484366
0.274000, -1.578647
0.275000, -1.000000
0.276000, -0.323466
0.277000, -0.133668
0.278000, -0.378864
0.279000, -0.531667
0.280000, -0.293893
0.281000, 0.103190
0.282000, 0.341957
0.283000, 0.508336
0.284000, 0.906616
0.285000, 1.475528
0.286000, 1.688787
0.287000, 1.169415
0.288000, 0.227387
0.289000, -0.428713
0.290000, -0.475528
0.291000, -0.264577
0.292000, -0.287105
0.293000, -0.563189
0.294000, -0.745230
0.295000, -0.706107
0.296000, -0.728406
0.297000, -1.017938
0.298000, -1.263134
0.299000, -0.936608
0.300000, -0.000000
0.301000, 0.936608
0.302000, 1.263134
0.303000, 1.017938
0.304000, 0.728406
0.305000, 0.706107
0.306000, 0.745230
0.307000, 0.563189
0.308000, 0.287105
0.309000, 0.264577
0.310000, 0.475528
0.311000, 0.428713
0.312000, -0.227387
0.313000, -1.169415
0.314000, -1.688787
0.315000, -1.475528
0.316000, -0.906616
0.317000, -0.508336
0.318000, -0.341957
0.319000, -0.103190
0.320000, 0.293893
0.321000, 0.531667
0.322000, 0.378864
0.323000, 0.133668
0.324000, 0.323466
0.325000, 1.000000
0.326000, 1.578647
0.327000, 1.484366
0.328000, 0.796706
0.329000, 0.086367
0.330000, -0.293893
0.331000, -0.514844
0.332000, -0.833614
0.333000, -1.109698
0.334000, -0.995497
0.335000, -0.524472
0.336000, -0.213326
0.337000, -0.448619
0.338000, -0.948183
0.339000, -1.046747
0.340000, -0.475528
0.341000, 0.353457
0.342000, 0.888466
0.343000, 1.054845
0.344000, 1.156883
0.345000, 1.293893
0.346000, 1.173707
0.347000, 0.600096
0.348000, -0.087564
0.349000, -0.318574
0.350000, -0.000000
0.351000, 0.318574
0.352000, 0.087564
0.353000, -0.600096
0.354000, -1.173707
0.355000, -1.293893
0.356000, -1.156883
0.357000, -1.054845
0.358000, -0.888466
0.359000, -0.353457
0.360000, 0.475528
0.361000, 1.046747
0.362000, 0.948183
0.363000, 0.448619
0.364000, 0.213326
0.365000, 0.524472
0.366000, 0.995497
0.367000, 1.109698
0.368000, 0.833614
0.369000, 0.514844
0.370000, 0.293893
0.371000, -0.086367
0.372000, -0.796706
0.373000, -1.484366
0.374000, -1.578647
0.375000, -1.000000
0.376000, -0.323466
0.377000, -0.133668
0.378000, -0.378864
0.379000, -0.531667
0.380000, -0.293893
0.381000, 0.103190
0.382000, 0.341957
0.383000, 0.508336
0.384000, 0.906616
0.385000, 1.475528
0.386000, 1.688787
0.387000, 1.169415
0.388000, 0.227387
0.389000, -0.428713
0.390000, -0.475528
0.391000, -0.264577
0.392000, -0.287105
0.393000, -0.563189
0.394000, -0.745230
